Timepoint,Flask,mM_HCHO,rep,CFU,CFU_ext
8,C,11,C,0,0
8,C,12,A,0,0
8,C,12,B,0,0
8,C,12,C,0,0
12,A,0,A,17272.72727,17272.72727
12,A,0,B,9090.909091,9090.909091
12,A,0,C,13636.36364,13636.36364
12,A,1,A,1090.909091,1090.909091
12,A,1,B,1545.454545,1545.454545
12,A,1,C,2090.909091,2090.909091
12,A,2,A,1090.909091,1090.909091
12,A,2,B,909.0909091,909.0909091
12,A,2,C,1454.545455,1454.545455
12,A,3,A,727.2727273,727.2727273
12,A,3,B,545.4545455,545.4545455
12,A,3,C,545.4545455,545.4545455
12,A,4,A,545.4545455,545.4545455
12,A,4,B,818.1818182,818.1818182
12,A,4,C,454.5454545,454.5454545
12,A,5,A,181.8181818,181.8181818
12,A,5,B,90.90909091,90.90909091
12,A,5,C,363.6363636,363.6363636
12,A,6,A,0,90.90909091
12,A,6,B,0,0
12,A,6,C,0,0
12,A,7,A,90.90909091,90.90909091
12,A,7,B,0,0
12,A,7,C,0,0
12,A,8,A,0,90.90909091
12,A,8,B,0,0
12,A,8,C,0,0
12,A,9,A,0,0
12,A,9,B,0,0
12,A,9,C,0,0
12,A,10,A,0,0
12,A,10,B,0,0
12,A,10,C,0,0
12,A,11,A,0,0
12,A,11,B,0,0
12,A,11,C,0,0
12,A,12,A,0,0
12,A,12,B,0,0
12,A,12,C,0,0
12,B,0,A,127272.7273,127272.7273
12,B,0,B,63636.36364,63636.36364
12,B,0,C,136363.6364,136363.6364
12,B,1,A,727.2727273,727.2727273
12,B,1,B,1272.727273,1272.727273
12,B,1,C,363.6363636,363.6363636
12,B,2,A,545.4545455,545.4545455
12,B,2,B,636.3636364,636.3636364
12,B,2,C,1000,1000
12,B,3,A,363.6363636,363.6363636
12,B,3,B,727.2727273,727.2727273
12,B,3,C,272.7272727,272.7272727
12,B,4,A,272.7272727,272.7272727
12,B,4,B,636.3636364,636.3636364
12,B,4,C,545.4545455,545.4545455
12,B,5,A,0,90.90909091
12,B,5,B,0,0
12,B,5,C,0,0
12,B,6,A,90.90909091,90.90909091
12,B,6,B,0,0
12,B,6,C,0,0
12,B,7,A,0,90.90909091
12,B,7,B,0,0
12,B,7,C,0,0
12,B,8,A,0,0
12,B,8,B,0,0
12,B,8,C,0,0
12,B,9,A,0,0
12,B,9,B,0,0
12,B,9,C,0,0
12,B,10,A,0,0
12,B,10,B,0,0
12,B,10,C,0,0
12,B,11,A,0,0
12,B,11,B,0,0
12,B,11,C,0,0
12,B,12,A,0,0
12,B,12,B,0,0
12,B,12,C,0,0
12,C,0,A,136363.6364,136363.6364
12,C,0,B,109090.9091,109090.9091
12,C,0,C,54545.45455,54545.45455
12,C,1,A,545.4545455,545.4545455
12,C,1,B,909.0909091,909.0909091
12,C,1,C,636.3636364,636.3636364
12,C,2,A,545.4545455,545.4545455
12,C,2,B,636.3636364,636.3636364
12,C,2,C,1000,1000
12,C,3,A,454.5454545,454.5454545
12,C,3,B,636.3636364,636.3636364
12,C,3,C,545.4545455,545.4545455
12,C,4,A,363.6363636,363.6363636
12,C,4,B,636.3636364,636.3636364
12,C,4,C,727.2727273,727.2727273
12,C,5,A,90.90909091,90.90909091
12,C,5,B,272.7272727,272.7272727
12,C,5,C,0,0
12,C,6,A,0,90.90909091
12,C,6,B,0,0
12,C,6,C,0,0
12,C,7,A,0,0
12,C,7,B,0,0
12,C,7,C,0,0
12,C,8,A,0,0
12,C,8,B,0,0
12,C,8,C,0,0
12,C,9,A,0,0
12,C,9,B,0,0
12,C,9,C,0,0
12,C,10,A,0,0
12,C,10,B,0,0
12,C,10,C,0,0
12,C,11,A,0,0
12,C,11,B,0,0
12,C,11,C,0,0
12,C,12,A,0,0
12,C,12,B,0,0
12,C,12,C,0,0
16,A,0,A,1545.454545,1545.454545
16,A,0,B,1636.363636,1636.363636
16,A,0,C,1363.636364,1363.636364
16,A,1,A,818.1818182,818.1818182
16,A,1,B,1363.636364,1363.636364
16,A,1,C,909.0909091,909.0909091
16,A,2,A,818.1818182,818.1818182
16,A,2,B,1090.909091,1090.909091
16,A,2,C,1000,1000
16,A,3,A,1090.909091,1090.909091
16,A,3,B,818.1818182,818.1818182
16,A,3,C,909.0909091,909.0909091
16,A,4,A,1000,1000
16,A,4,B,909.0909091,909.0909091
16,A,4,C,1000,1000
16,A,5,A,363.6363636,363.6363636
16,A,5,B,272.7272727,272.7272727
16,A,5,C,90.90909091,90.90909091
16,A,6,A,0,90.90909091
16,A,6,B,0,0
16,A,6,C,0,0
16,A,7,A,181.8181818,181.8181818
16,A,7,B,0,0
16,A,7,C,90.90909091,90.90909091
16,A,8,A,0,90.90909091
16,A,8,B,0,0
16,A,8,C,0,0
16,A,9,A,0,0
16,A,9,B,0,0
16,A,9,C,0,0
16,A,10,A,0,0
16,A,10,B,0,0
16,A,10,C,0,0
16,A,11,A,0,0
16,A,11,B,0,0
16,A,11,C,0,0
16,A,12,A,0,0
16,A,12,B,0,0
16,A,12,C,0,0
16,B,0,A,2363.636364,2363.636364
16,B,0,B,2000,2000
16,B,0,C,2000,2000
16,B,1,A,1727.272727,1727.272727
16,B,1,B,1000,1000
16,B,1,C,1727.272727,1727.272727
16,B,2,A,1090.909091,1090.909091
16,B,2,B,1545.454545,1545.454545
16,B,2,C,909.0909091,909.0909091
16,B,3,A,1363.636364,1363.636364
16,B,3,B,1090.909091,1090.909091
16,B,3,C,909.0909091,909.0909091
16,B,4,A,1181.818182,1181.818182
16,B,4,B,1000,1000
16,B,4,C,1090.909091,1090.909091
16,B,5,A,90.90909091,90.90909091
16,B,5,B,181.8181818,181.8181818
16,B,5,C,181.8181818,181.8181818
16,B,6,A,0,90.90909091
16,B,6,B,0,0
16,B,6,C,0,0
16,B,7,A,0,0
16,B,7,B,0,0
16,B,7,C,90.90909091,90.90909091
16,B,8,A,0,90.90909091
16,B,8,B,0,0
16,B,8,C,0,0
16,B,9,A,0,0
16,B,9,B,0,0
16,B,9,C,0,0
16,B,10,A,0,0
16,B,10,B,0,0
16,B,10,C,0,0
16,B,11,A,0,0
