Flask,Timepoint,mM_HCHO,Rep,CFU,CFU_ext
11S,8,2,A,1818181.818,1818181.818
11S,8,2,B,1727272.727,1727272.727
11S,8,2,C,1363636.364,1363636.364
11S,8,4,A,545454.5455,545454.5455
11S,8,4,B,1090909.091,1090909.091
11S,8,4,C,818181.8182,818181.8182
11S,8,6,A,209090.9091,209090.9091
11S,8,6,B,163636.3636,163636.3636
11S,8,6,C,190909.0909,190909.0909
11S,8,8,A,1545.454545,1545.454545
11S,8,8,B,1272.727273,1272.727273
11S,8,8,C,1181.818182,1181.818182
11S,8,10,A,0,90.90909091
11S,8,10,B,0,0
11S,8,10,C,0,0
11S,8,12,A,0,0
11S,8,12,B,0,0
11S,8,12,C,0,0
12M,8,0,A,6363636.364,6363636.364
12M,8,0,B,10909090.91,10909090.91
12M,8,0,C,6363636.364,6363636.364
12M,8,2,A,4363636.364,4363636.364
12M,8,2,B,3363636.364,3363636.364
12M,8,2,C,4000000,4000000
12M,8,4,A,236363.6364,236363.6364
12M,8,4,B,318181.8182,318181.8182
12M,8,4,C,354545.4545,354545.4545
12M,8,6,A,190909.0909,190909.0909
12M,8,6,B,200000,200000
12M,8,6,C,218181.8182,218181.8182
12M,8,8,A,17272.72727,17272.72727
12M,8,8,B,13636.36364,13636.36364
12M,8,8,C,18181.81818,18181.81818
12M,8,10,A,0,90.90909091
12M,8,10,B,0,0
12M,8,10,C,0,0
12M,8,12,A,0,0
12M,8,12,B,0,0
12M,8,12,C,0,0
12S,8,0,A,2909090.909,2909090.909
12S,8,0,B,2909090.909,2909090.909
12S,8,0,C,3545454.545,3545454.545
12S,8,2,A,1454545.455,1454545.455
12S,8,2,B,909090.9091,909090.9091
12S,8,2,C,1000000,1000000
12S,8,4,A,81818.18182,81818.18182
12S,8,4,B,118181.8182,118181.8182
12S,8,4,C,127272.7273,127272.7273
12S,8,6,A,36363.63636,36363.63636
12S,8,6,B,31818.18182,31818.18182
12S,8,6,C,30000,30000
12S,8,8,A,0,0
12S,8,8,B,545.4545455,545.4545455
12S,8,8,C,0,0
12S,8,10,A,0,0
12S,8,10,B,0,90.90909091
12S,8,10,C,0,0
12S,8,12,A,0,0
12S,8,12,B,0,0
12S,8,12,C,0,0
10M,12,0,A,20909090.91,20909090.91
10M,12,0,B,28181818.18,28181818.18
10M,12,0,C,21818181.82,21818181.82
10M,12,2,A,18181818.18,18181818.18
10M,12,2,B,15454545.45,15454545.45
10M,12,2,C,13636363.64,13636363.64
10M,12,4,A,727272.7273,727272.7273
10M,12,4,B,909090.9091,909090.9091
10M,12,4,C,1727272.727,1727272.727
10M,12,6,A,272727.2727,272727.2727
10M,12,6,B,272727.2727,272727.2727
10M,12,6,C,363636.3636,363636.3636
10M,12,8,A,33636.36364,33636.36364
10M,12,8,B,35454.54545,35454.54545
10M,12,8,C,25454.54545,25454.54545
10M,12,10,A,0,90.90909091
10M,12,10,B,0,0
10M,12,10,C,0,0
10M,12,12,A,0,0
10M,12,12,B,0,0
10M,12,12,C,0,0
10S,12,0,A,8181818.182,8181818.182
10S,12,0,B,11818181.82,11818181.82
10S,12,0,C,5454545.455,5454545.455
10S,12,2,A,545454.5455,545454.5455
10S,12,2,B,1181818.182,1181818.182
10S,12,2,C,545454.5455,545454.5455
10S,12,4,A,127272.7273,127272.7273
10S,12,4,B,81818.18182,81818.18182
10S,12,4,C,154545.4545,154545.4545
10S,12,6,A,19090.90909,19090.90909
10S,12,6,B,12727.27273,12727.27273
10S,12,6,C,15454.54545,15454.54545
10S,12,8,A,0,90.90909091
10S,12,8,B,0,0
10S,12,8,C,0,0
10S,12,10,A,0,0
10S,12,10,B,0,0
10S,12,10,C,0,0
10S,12,12,A,0,0
10S,12,12,B,0,0
10S,12,12,C,0,0
11M,12,0,A,28181818.18,28181818.18
11M,12,0,B,14545454.55,14545454.55
11M,12,0,C,27272727.27,27272727.27
11M,12,2,A,14545454.55,14545454.55
